borough,target_date,lead_days,issue_date,tmax_f_fcst,tmin_f_fcst,overnight_low_f_fcst,rh_at_peak_pct_fcst,hi_max_f_fcst,threshold_band_fcst,hazard_level_fcst,hazard_label_fcst,eval_tmax_error_f,eval_hi_error_f,eval_level_error
Manhattan,2026-07-20,1,2026-07-19,93.1,74.6,76.6,42.4,96.7,95-99,2,moderate,3.1,5.0,1
Manhattan,2026-07-21,1,2026-07-20,96.9,76.7,78.7,43.1,104.6,100-104,3,major,3.9,7.7,1
Manhattan,2026-07-22,1,2026-07-21,97.2,77.0,80.0,43.6,105.8,>=105,4,extreme,2.3,4.7,1
Manhattan,2026-07-23,1,2026-07-22,98.5,77.7,78.7,41.3,107.0,>=105,4,extreme,0.6,-0.3,0
Manhattan,2026-07-24,1,2026-07-23,101.1,82.7,76.7,47.9,119.2,>=105,4,extreme,4.2,13.3,0
Manhattan,2026-07-25,1,2026-07-24,92.8,74.1,65.2,51.4,101.1,100-104,3,major,1.9,5.4,0
Manhattan,2026-07-26,1,2026-07-25,83.3,72.1,70.1,36.8,82.2,<95,0,little_to_no_risk,1.3,0.8,0
Manhattan,2026-07-20,2,2026-07-18,90.5,74.3,76.3,43.2,92.6,<95,1,minor,0.6,1.0,0
Manhattan,2026-07-21,2,2026-07-19,96.3,75.5,77.5,43.0,103.4,100-104,3,major,3.4,6.6,1
Manhattan,2026-07-22,2,2026-07-20,92.3,80.0,83.0,44.7,96.4,95-99,3,major,-2.6,-4.6,0
Manhattan,2026-07-23,2,2026-07-21,99.7,76.8,77.8,42.1,110.4,>=105,4,extreme,1.8,3.0,0
Manhattan,2026-07-24,2,2026-07-22,94.6,81.9,75.9,49.0,103.5,100-104,3,major,-2.3,-2.3,-1
Manhattan,2026-07-25,2,2026-07-23,86.3,68.1,59.1,49.8,88.3,<95,0,little_to_no_risk,-4.6,-7.5,-3
Manhattan,2026-07-26,2,2026-07-24,88.6,68.9,66.9,39.1,88.5,<95,0,little_to_no_risk,6.7,7.2,0
Manhattan,2026-07-20,3,2026-07-17,94.0,74.1,76.1,40.8,97.6,95-99,2,moderate,4.0,5.9,1
Manhattan,2026-07-21,3,2026-07-18,93.0,73.5,75.5,40.4,95.6,95-99,2,moderate,0.1,-1.2,0
Manhattan,2026-07-22,3,2026-07-19,91.5,74.2,77.2,44.6,94.9,<95,1,minor,-3.5,-6.2,-2
