borough,datetime_local,temp_f,dewpoint_f,rh_pct,heat_index_f
Manhattan,2026-07-20T00:00:00-04:00,78.4,64.0,61.4,78.8
Manhattan,2026-07-20T01:00:00-04:00,76.7,64.0,64.8,77.2
Manhattan,2026-07-20T02:00:00-04:00,75.3,64.0,67.9,75.8
Manhattan,2026-07-20T03:00:00-04:00,74.2,64.0,70.5,74.7
Manhattan,2026-07-20T04:00:00-04:00,73.4,64.0,72.3,73.9
Manhattan,2026-07-20T05:00:00-04:00,73.1,64.0,73.3,73.5
Manhattan,2026-07-20T06:00:00-04:00,73.1,64.0,73.2,73.6
Manhattan,2026-07-20T07:00:00-04:00,73.9,64.0,71.2,74.4
Manhattan,2026-07-20T08:00:00-04:00,75.5,64.0,67.5,75.9
Manhattan,2026-07-20T09:00:00-04:00,77.6,64.0,62.9,78.1
Manhattan,2026-07-20T10:00:00-04:00,80.2,64.0,57.9,81.8
Manhattan,2026-07-20T11:00:00-04:00,82.8,64.0,53.1,84.3
Manhattan,2026-07-20T12:00:00-04:00,85.4,64.0,48.9,86.7
Manhattan,2026-07-20T13:00:00-04:00,87.5,64.1,45.9,88.9
Manhattan,2026-07-20T14:00:00-04:00,89.1,64.2,43.9,90.6
Manhattan,2026-07-20T15:00:00-04:00,89.9,64.4,42.9,91.5
Manhattan,2026-07-20T16:00:00-04:00,90.0,64.5,43.0,91.7
Manhattan,2026-07-20T17:00:00-04:00,89.6,64.6,43.7,91.3
Manhattan,2026-07-20T18:00:00-04:00,88.9,64.8,45.0,90.6
Manhattan,2026-07-20T19:00:00-04:00,87.8,64.9,46.7,89.6
Manhattan,2026-07-20T20:00:00-04:00,86.5,65.0,48.9,88.3
Manhattan,2026-07-20T21:00:00-04:00,85.0,65.1,51.5,86.8
Manhattan,2026-07-20T22:00:00-04:00,83.3,65.2,54.5,85.2
Manhattan,2026-07-20T23:00:00-04:00,81.7,65.4,57.8,83.6
Manhattan,2026-07-21T00:00:00-04:00,80.0,65.5,61.3,82.0
Manhattan,2026-07-21T01:00:00-04:00,78.5,65.6,64.7,79.1
